date,campaign_id,campaign_name,campaign_type,targeting_type,asin,impressions,clicks,spend,orders,sales
2026-01-01,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,4244,17,17.16,2,179.57
2026-01-02,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,4567,18,12.98,2,20.27
2026-01-02,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,1637,12,11.73,3,170.98
2026-01-02,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,6543,29,19.8,2,54.7
2026-01-02,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,3899,19,15.08,2,33.55
2026-01-02,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,0,0,0.0,0,0.0
2026-01-02,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,6886,24,28.74,0,0.0
2026-01-02,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1350,7,5.91,0,0.0
2026-01-02,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,554,2,2.74,0,0.0
2026-01-02,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,1290,3,3.85,0,0.0
2026-01-02,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,2544,10,5.04,1,108.29
2026-01-03,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,4228,16,14.8,1,86.34
2026-01-03,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,4297,28,17.55,5,249.13
2026-01-03,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,3683,17,12.31,0,0.0
2026-01-03,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,1430,10,9.79,1,57.74
2026-01-03,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,7347,45,27.04,2,53.96
2026-01-03,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,1018,5,4.57,1,17.64
2026-01-03,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,8193,17,21.64,0,0.0
2026-01-03,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,5236,20,24.74,0,0.0
2026-01-03,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,0,0,0.0,0,0.0
2026-01-03,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,854,3,3.24,0,0.0
2026-01-03,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,378,1,1.37,0,0.0
2026-01-03,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,4085,16,8.94,4,455.89
2026-01-04,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,6067,19,17.48,2,167.55
2026-01-04,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,0,0,0.0,0,0.0
2026-01-04,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,3680,10,7.1,2,20.92
2026-01-04,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,1056,6,5.06,0,0.0
2026-01-04,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,4543,24,18.18,2,56.5
2026-01-04,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,1272,7,6.5,1,16.05
2026-01-04,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,4043,11,17.58,1,36.92
2026-01-04,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,3900,16,15.24,0,0.0
2026-01-04,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1271,8,8.52,1,75.59
2026-01-04,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,1099,5,6.64,0,0.0
2026-01-04,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,362,1,1.07,0,0.0
2026-01-04,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,2450,14,7.87,1,102.23
2026-01-05,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,15838,86,63.17,9,833.32
2026-01-05,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,3341,18,12.69,3,160.89
2026-01-05,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,4470,17,10.86,1,10.02
2026-01-05,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,3388,15,16.32,2,113.82
2026-01-05,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,3380,12,9.73,0,0.0
2026-01-05,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,2791,14,9.67,0,0.0
2026-01-05,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,7571,12,18.77,0,0.0
2026-01-05,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,5034,15,17.33,1,42.37
2026-01-05,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,0,0,0.0,0,0.0
2026-01-05,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,977,4,4.98,0,0.0
2026-01-05,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,821,2,2.7,0,0.0
2026-01-05,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,5368,27,13.81,4,447.12
2026-01-06,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,3991,18,14.23,1,89.76
2026-01-06,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,2022,8,5.44,0,0.0
2026-01-06,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,0,0,0.0,0,0.0
2026-01-06,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,2226,17,17.86,1,57.0
2026-01-06,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,7185,29,23.83,2,52.98
2026-01-06,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,1323,7,5.75,0,0.0
2026-01-06,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,6760,17,23.66,0,0.0
2026-01-06,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,3574,13,12.87,0,0.0
2026-01-06,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1845,10,8.77,1,74.72
2026-01-06,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,878,3,3.88,0,0.0
2026-01-06,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,732,3,3.28,0,0.0
2026-01-06,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,1295,7,3.41,0,0.0
2026-01-07,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,5576,23,21.85,2,187.04
2026-01-07,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,3433,20,16.97,2,96.15
2026-01-07,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,11881,51,38.73,3,28.72
2026-01-07,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,620,4,4.54,0,0.0
2026-01-07,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,4966,18,12.83,3,82.09
2026-01-07,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,2269,10,9.01,1,16.39
2026-01-07,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,8125,18,27.19,0,0.0
2026-01-07,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,4621,23,27.28,1,39.21
2026-01-07,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1461,11,9.89,1,72.02
2026-01-07,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,518,1,1.39,0,0.0
2026-01-07,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,970,3,3.06,0,0.0
2026-01-07,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,3946,24,14.5,1,105.82
2026-01-08,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,5162,20,18.31,3,279.84
2026-01-08,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,2416,11,8.76,2,91.18
2026-01-08,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,5767,25,18.69,1,9.56
2026-01-08,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,4053,29,26.27,2,130.52
2026-01-08,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,5607,30,23.31,2,55.05
2026-01-08,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,2522,12,9.4,1,16.75
2026-01-08,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,6429,15,23.12,0,0.0
2026-01-08,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,3740,15,14.89,0,0.0
2026-01-08,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1225,5,3.91,0,0.0
2026-01-08,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,441,2,2.72,1,94.7
2026-01-08,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,681,2,1.97,0,0.0
2026-01-08,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,3076,14,8.63,0,0.0
2026-01-09,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,9716,46,46.79,1,94.1
2026-01-09,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,2102,10,6.34,3,152.74
2026-01-09,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,6397,30,21.93,3,31.44
2026-01-09,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,2532,18,18.1,2,114.35
2026-01-09,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,5846,20,14.01,1,27.33
2026-01-09,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,5098,34,23.25,0,0.0
2026-01-09,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,6296,14,17.48,0,0.0
2026-01-09,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,4375,21,20.03,0,0.0
2026-01-09,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,2635,11,9.54,0,0.0
2026-01-09,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,1188,3,3.31,0,0.0
2026-01-09,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,721,2,2.44,0,0.0
2026-01-09,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,2158,14,8.39,1,98.51
2026-01-10,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,3520,17,15.79,0,0.0
2026-01-10,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,2290,12,9.94,1,48.05
2026-01-10,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,7122,25,17.07,4,42.06
2026-01-10,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,2354,12,11.32,1,62.7
2026-01-10,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,3428,13,9.74,1,24.44
2026-01-10,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,3138,19,13.75,1,16.5
2026-01-10,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,7437,17,21.93,0,0.0
2026-01-10,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,2142,9,9.01,1,43.18
2026-01-10,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1492,8,6.24,0,0.0
2026-01-10,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,487,2,2.3,0,0.0
2026-01-10,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,343,1,1.13,0,0.0
2026-01-10,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,2826,13,8.41,3,294.78
2026-01-11,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,3277,18,18.3,0,0.0
2026-01-11,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,3122,22,16.47,3,147.53
2026-01-11,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,3821,17,12.18,3,27.48
2026-01-11,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,930,5,4.48,0,0.0
2026-01-11,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,5125,28,21.56,0,0.0
2026-01-11,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,7020,46,38.36,5,83.7
2026-01-11,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,6064,17,22.67,1,39.04
2026-01-11,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,1925,6,6.09,0,0.0
2026-01-11,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1384,10,9.47,1,69.38
2026-01-11,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,720,2,2.37,0,0.0
2026-01-11,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,724,3,3.89,0,0.0
2026-01-11,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,3564,15,8.09,1,109.85
2026-01-12,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,0,0,0.0,0,0.0
2026-01-12,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,4008,25,16.59,4,212.31
2026-01-12,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,3629,15,10.48,0,0.0
2026-01-12,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,2590,14,12.62,2,129.65
2026-01-12,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,2205,10,6.54,2,56.88
2026-01-12,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,1658,6,5.25,1,15.48
2026-01-12,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,4946,14,22.26,0,0.0
2026-01-12,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,4254,17,20.2,0,0.0
2026-01-12,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,1407,6,6.05,0,0.0
2026-01-12,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,783,3,3.21,1,88.06
2026-01-12,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,0,0,0.0,0,0.0
2026-01-12,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,3108,16,9.72,1,112.91
2026-01-13,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,4576,20,17.53,3,260.29
2026-01-13,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,0,0,0.0,0,0.0
2026-01-13,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,11179,33,23.11,2,18.83
2026-01-13,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,2146,10,8.43,1,63.24
2026-01-13,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,4437,23,15.97,1,25.19
2026-01-13,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,3495,17,16.24,2,35.94
2026-01-13,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,3158,9,14.14,0,0.0
2026-01-13,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,1890,8,8.73,0,0.0
2026-01-13,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,902,4,3.08,0,0.0
2026-01-13,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,657,3,3.88,0,0.0
2026-01-13,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,789,3,4.1,1,27.29
2026-01-13,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,5022,20,11.55,0,0.0
2026-01-14,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,7598,39,39.09,4,369.36
2026-01-14,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,5722,41,29.15,4,195.92
2026-01-14,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,10733,43,31.72,4,42.39
2026-01-14,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,3759,24,22.64,2,116.97
2026-01-14,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,3027,16,12.35,0,0.0
2026-01-14,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,1962,11,10.02,1,17.16
2026-01-14,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,2758,7,11.46,0,0.0
2026-01-14,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,2668,10,11.68,0,0.0
2026-01-14,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,907,6,5.47,1,75.79
2026-01-14,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,755,3,3.52,0,0.0
2026-01-14,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,0,0,0.0,0,0.0
2026-01-14,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,3076,14,7.41,4,441.61
2026-01-15,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,5076,18,18.06,0,0.0
2026-01-15,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,5530,33,21.1,5,245.86
2026-01-15,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,6297,23,14.1,3,28.37
2026-01-15,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,4481,28,25.68,3,184.43
2026-01-15,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,3798,18,13.37,1,24.94
2026-01-15,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,1771,11,9.56,2,30.92
2026-01-15,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,5838,15,21.08,0,0.0
2026-01-15,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,2532,12,11.48,0,0.0
2026-01-15,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,0,0,0.0,0,0.0
2026-01-15,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,1010,3,4.01,0,0.0
2026-01-15,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,1037,4,5.13,1,30.57
2026-01-15,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,1889,10,5.61,1,100.71
2026-01-16,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,5353,28,20.96,1,83.45
2026-01-16,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,956,7,5.47,1,46.07
2026-01-16,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,4071,20,12.12,2,20.76
2026-01-16,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,923,6,6.26,0,0.0
2026-01-16,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,13004,57,42.84,5,131.93
2026-01-16,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,4839,23,18.79,2,32.19
2026-01-16,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,6854,15,22.35,0,0.0
2026-01-16,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,6712,22,24.03,2,74.03
2026-01-16,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,2947,17,17.3,1,72.95
2026-01-16,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,805,3,3.4,0,0.0
2026-01-16,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,731,2,2.17,1,30.35
2026-01-16,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,3257,18,8.58,2,194.31
2026-01-17,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,7636,39,32.44,5,416.31
2026-01-17,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,1015,5,4.11,0,0.0
2026-01-17,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,5154,18,13.64,1,10.61
2026-01-17,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,793,4,3.67,1,55.09
2026-01-17,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,5329,21,14.71,2,53.01
2026-01-17,C-1006,SP | Manual | Sports & Outdoors,Sponsored Products,Manual,B0SSL9ZZJT,3278,15,11.89,1,16.85
2026-01-17,C-1007,SP | Auto | Beauty Explorers,Sponsored Products,Auto,B0KMG3BBNV,5849,16,21.3,0,0.0
2026-01-17,C-1008,SP | Auto | Electronics Diversification,Sponsored Products,Auto,B055PLDLF8,3130,15,18.48,0,0.0
2026-01-17,C-1009,SP | Manual | Kitchen Launch,Sponsored Products,Manual,B0GDNTQUXZ,2363,13,10.71,1,72.75
2026-01-17,C-1010,SB | Brand | AuroraTech,Sponsored Brands,Keyword,B0R5E97R3C,720,3,3.55,0,0.0
2026-01-17,C-1011,SB | Brand | Nordic Home,Sponsored Brands,Keyword,B0SFWKQDD5,0,0,0.0,0,0.0
2026-01-17,C-1012,SD | Retargeting | Electronics,Sponsored Display,Views remarketing,B0NL5Q5CZM,1957,11,7.12,1,105.44
2026-01-18,C-1001,SP | Auto | Electronics Catch-All,Sponsored Products,Auto,B0R5E97R3C,11717,49,44.39,1,89.93
2026-01-18,C-1002,SP | Manual | Office Hero SKU,Sponsored Products,Manual,B0E48MCY15,1177,6,4.71,0,0.0
2026-01-18,C-1003,SP | Auto | Toys Discovery,Sponsored Products,Auto,B0C9DBLSN2,5605,20,14.26,4,38.66
2026-01-18,C-1004,SP | Manual | Home & Kitchen Brand Defense,Sponsored Products,Manual,B0DDA4EXPW,825,4,4.18,0,0.0
2026-01-18,C-1005,SP | Auto | Pet Supplies,Sponsored Products,Auto,B0LD11QTH5,3635,20,13.15,1,27.55
