order_id,order_date,order_time,order_status,fulfillment_channel,sales_channel,ship_service_level,customer_id,ship_state,ship_city,ship_postal,ship_country,currency,shipping_fee,promotion_discount,order_total
114-2382855-1002018,2025-01-05,16:52:25,Shipped,FBA,Amazon.com,Two-Day,CUST-00894,ME,Georgetown,73998,US,USD,0.0,0.0,31.54
114-5034253-2667758,2025-01-05,09:49:00,Canceled,FBA,Amazon.com,Two-Day,CUST-01209,GA,Augusta,73636,US,USD,0.0,0.0,31.9
114-7176574-7470157,2025-01-05,08:50:06,Shipped,FBA,Amazon.com,Two-Day,CUST-01457,FL,Jacksonville,67534,US,USD,0.0,13.13,191.44
114-8847422-4422953,2025-01-05,19:00:19,Shipped,FBA,Amazon.com,Two-Day,CUST-00217,ND,Centerville,85354,US,USD,0.0,6.0,216.93
114-5105024-6998205,2025-01-06,22:43:57,Shipped,FBA,Amazon.com,Two-Day,CUST-00497,IA,Centerville,35486,US,USD,0.0,0.0,48.91
114-6970949-1750988,2025-01-06,22:22:23,Shipped,FBA,Amazon.com,Standard,CUST-01020,AL,Springfield,46040,US,USD,0.0,0.0,43.32
114-7090220-3848766,2025-01-06,02:31:23,Shipped,FBA,Amazon.com,Expedited,CUST-00526,FL,Miami,22934,US,USD,0.0,2.33,64.41
114-8639392-6057746,2025-01-06,20:33:08,Shipped,FBA,Amazon.com,Two-Day,CUST-01220,MA,Springfield,65725,US,USD,0.0,0.0,40.21
114-1283563-8667926,2025-01-07,02:04:00,Shipped,FBM,Amazon.com,Standard,CUST-00733,PA,Philadelphia,13890,US,USD,4.72,1.91,110.25
114-5743859-6616777,2025-01-07,17:40:58,Shipped,FBA,Amazon.com,Two-Day,CUST-01299,MI,Ann Arbor,65797,US,USD,0.0,0.0,56.51
114-5976514-4079746,2025-01-07,09:14:42,Canceled,FBA,Amazon.com,Two-Day,CUST-00191,NV,Georgetown,31119,US,USD,0.0,0.0,113.82
114-8312129-1359745,2025-01-07,07:05:55,Shipped,FBA,Amazon.com,Expedited,CUST-01783,SD,Georgetown,37827,US,USD,0.0,2.43,61.54
114-8585217-2334773,2025-01-07,07:44:24,Shipped,FBA,Amazon.com,Two-Day,CUST-00754,WY,Riverside,72185,US,USD,0.0,0.0,126.37
114-3471987-4780379,2025-01-08,03:11:24,Shipped,FBM,Amazon.com,Standard,CUST-01452,AZ,Tucson,22237,US,USD,6.84,0.0,197.02
114-4614732-5947520,2025-01-08,19:14:38,Shipped,FBA,Amazon.com,Two-Day,CUST-00570,OR,Riverside,65426,US,USD,0.0,0.0,31.59
114-4773511-7685135,2025-01-08,19:45:39,Shipped,FBA,Amazon.com,Standard,CUST-01483,WI,Riverside,74325,US,USD,0.0,0.0,61.18
114-7433283-6693507,2025-01-08,15:07:43,Shipped,FBA,Amazon.com,Two-Day,CUST-01556,NE,Springfield,18076,US,USD,0.0,0.0,26.96
114-8362911-3724162,2025-01-08,09:36:31,Shipped,FBM,Amazon.com,Standard,CUST-01282,NE,Riverside,67219,US,USD,7.36,0.0,46.2
114-9462493-8581177,2025-01-08,09:37:51,Shipped,FBA,Amazon.com,Two-Day,CUST-00003,AK,Fairview,21322,US,USD,0.0,0.0,19.47
114-2506474-2456631,2025-01-09,10:42:37,Shipped,FBA,Amazon.com,Two-Day,CUST-00355,NJ,Trenton,35369,US,USD,0.0,0.0,108.32
114-4120482-9798556,2025-01-09,11:24:39,Shipped,FBA,Amazon.com,Two-Day,CUST-00312,NY,New York,59362,US,USD,0.0,0.0,163.91
114-4262351-9034787,2025-01-09,00:34:18,Shipped,FBA,Amazon.com,Standard,CUST-01449,AL,Riverside,60160,US,USD,0.0,0.0,176.79
114-4425948-6704686,2025-01-09,15:53:40,Shipped,FBM,Amazon.com,Standard,CUST-01772,OH,Cleveland,31957,US,USD,7.44,0.0,67.52
114-4425948-6704686,2025-01-09,15:53:40,Shipped,FBM,Amazon.com,Standard,CUST-01772,OH,Cleveland,31957,US,USD,7.44,0.0,67.52
114-6288180-7205358,2025-01-09,06:35:09,Shipped,FBM,Amazon.com,Standard,CUST-00743,OH,Cincinnati,86177,US,USD,5.76,0.0,48.33
114-7531416-3384358,2025-01-09,20:04:16,Canceled,FBA,Amazon.com,Two-Day,CUST-00258,MO,Springfield,33908,US,USD,0.0,0.0,70.57
114-8405140-7655691,2025-01-09,22:52:32,Shipped,FBA,Amazon.com,Two-Day,CUST-00562,NV,Fairview,94678,US,USD,0.0,0.0,52.27
114-1235451-8390886,2025-01-10,10:40:08,Shipped,FBA,Amazon.com,Standard,CUST-01523,IL,Naperville,68062,US,USD,0.0,0.0,92.55
114-1425394-2501727,2025-01-10,07:16:11,Shipped,FBA,Amazon.com,Two-Day,CUST-01051,OH,Toledo,25715,US,USD,0.0,0.0,140.42
114-1627637-1377463,2025-01-10,17:51:28,Shipped,FBA,Amazon.com,Two-Day,CUST-01321,AK,Georgetown,61402,US,USD,0.0,0.0,52.95
114-2393146-1418009,2025-01-10,13:59:07,Pending,FBA,Amazon.com,Two-Day,CUST-01594,AK,Centerville,12523,US,USD,0.0,0.0,30.93
114-3310671-8884625,2025-01-10,11:21:05,Shipped,FBA,Amazon.com,Standard,CUST-01318,WA,Bellevue,38613,US,USD,0.0,1.98,29.25
114-1761751-3579145,2025-01-11,23:23:28,Shipped,FBA,Amazon.com,Two-Day,CUST-01745,NC,Greensboro,37495,US,USD,0.0,0.0,83.42
114-2264798-5296553,2025-01-11,16:09:08,Shipped,FBA,Amazon.com,Two-Day,CUST-01538,FL,Tampa,31873,US,USD,0.0,0.0,54.16
114-5275540-7678099,2025-01-11,09:36:49,Shipped,FBA,Amazon.com,Two-Day,CUST-00700,MN,Springfield,80601,US,USD,0.0,0.0,55.67
114-8007671-4870054,2025-01-11,13:24:25,Shipped,FBA,Amazon.com,Standard,CUST-00821,FL,Miami,54846,US,USD,0.0,0.0,104.52
114-1356586-6662173,2025-01-12,12:56:38,Shipped,FBA,Amazon.com,Expedited,CUST-00626,CO,Centerville,49669,US,USD,0.0,11.14,129.42
114-2087833-5854480,2025-01-12,16:18:09,Shipped,FBA,Amazon.com,Two-Day,CUST-00791,KY,Springfield,53922,US,USD,0.0,0.0,223.57
114-6289318-5520370,2025-01-12,23:22:49,Shipped,FBA,Amazon.com,Two-Day,CUST-00177,FL,Miami,76476,US,USD,0.0,0.0,67.82
114-1023742-9216089,2025-01-13,15:04:23,Shipped,FBA,Amazon.com,Two-Day,CUST-00376,ID,Centerville,98538,US,USD,0.0,0.0,47.02
114-7901714-4255174,2025-01-13,23:43:40,Shipped,FBM,Amazon.com,Standard,CUST-01635,TN,Nashville,59803,US,USD,4.7,0.0,60.37
114-8439765-9731347,2025-01-13,13:29:57,Unshipped,FBA,Amazon.com,Two-Day,CUST-00973,GA,Atlanta,86962,US,USD,0.0,0.0,8.44
114-2705794-8759763,2025-01-14,09:02:10,Shipped,FBM,Amazon.com,Standard,CUST-00224,MA,Cambridge,36170,US,USD,5.97,0.0,15.96
114-4076100-4954062,2025-01-14,09:55:31,Shipped,FBA,Amazon.com,Two-Day,CUST-01467,KY,Centerville,50609,US,USD,0.0,0.0,151.34
114-4320223-5188384,2025-01-14,06:39:56,Shipped,FBA,Amazon.com,Two-Day,CUST-00932,NY,Albany,38919,US,USD,0.0,0.0,95.54
114-4560896-6583965,2025-01-14,04:31:26,Shipped,FBA,Amazon.com,Two-Day,CUST-00403,MN,Centerville,77757,US,USD,0.0,0.0,13.44
114-6625197-5233280,2025-01-14,07:15:03,Canceled,FBA,Amazon.com,Standard,CUST-01658,WI,Riverside,72831,US,USD,0.0,0.0,67.82
114-7425209-2189237,2025-01-14,18:39:46,Shipped,FBM,Amazon.com,Standard,CUST-01495,NV,Centerville,15866,US,USD,7.39,0.0,61.55
114-7598881-6826000,2025-01-14,10:39:11,Shipped,FBM,Amazon.com,Standard,CUST-00697,CT,Centerville,45784,US,USD,7.61,0.0,47.14
114-1426112-4203835,2025-01-15,14:47:02,Shipped,FBA,Amazon.com,Two-Day,CUST-01370,LA,Fairview,24003,US,USD,0.0,0.0,9.99
114-2249513-1365461,2025-01-15,12:40:16,Shipped,FBA,Amazon.com,Two-Day,CUST-00430,NJ,Paterson,44922,US,USD,0.0,0.0,107.91
114-3244017-1378173,2025-01-15,17:03:27,Shipped,FBM,Amazon.com,Standard,CUST-00225,NY,Syracuse,56665,US,USD,6.12,0.0,121.49
114-3700143-1426554,2025-01-15,11:28:37,Shipped,FBA,Amazon.com,Two-Day,CUST-00790,CO,Riverside,53522,US,USD,0.0,0.0,340.29
114-3877903-9653852,2025-01-15,08:34:21,Shipped,FBA,Amazon.com,Two-Day,CUST-00771,WI,Springfield,41417,US,USD,0.0,7.83,76.79
114-4302659-3032043,2025-01-15,06:08:47,Unshipped,FBA,Amazon.com,Two-Day,CUST-00687,ID,Riverside,41407,US,USD,0.0,0.0,35.22
114-4830696-7110350,2025-01-15,08:45:49,Shipped,FBA,Amazon.com,Two-Day,CUST-01051,OH,Toledo,25715,US,USD,0.0,0.0,550.28
114-8733733-5927218,2025-01-15,00:53:48,Shipped,FBA,Amazon.com,Two-Day,CUST-00136,SC,Georgetown,48086,US,USD,0.0,0.0,441.5
114-6559996-2327411,2025-01-16,00:28:55,Shipped,FBA,Amazon.com,Two-Day,CUST-00590,NC,Raleigh,64831,US,USD,0.0,5.07,177.56
114-7290722-1102843,2025-01-16,06:50:22,Shipped,FBA,Amazon.com,Two-Day,CUST-01642,IL,Peoria,73733,US,USD,0.0,0.0,26.96
114-7625199-5883509,2025-01-16,07:49:29,Shipped,FBA,Amazon.com,Two-Day,CUST-01746,MO,Springfield,16411,US,USD,0.0,0.0,37.09
114-9501949-5857499,2025-01-16,17:10:56,Shipped,FBA,Amazon.com,Two-Day,CUST-01571,OH,Toledo,18273,US,USD,0.0,2.27,102.93
114-6777256-6619474,2025-01-17,13:21:53,Shipped,FBA,Amazon.com,Two-Day,CUST-01310,GA,Augusta,22733,US,USD,0.0,0.0,99.78
114-7274822-6911566,2025-01-17,15:59:20,Pending,FBA,Amazon.com,Standard,CUST-01623,NV,Riverside,61950,US,USD,0.0,0.0,10.4
114-1824058-9056135,2025-01-18,08:16:31,Shipped,FBA,Amazon.com,Standard,CUST-00862,WA,Seattle,37192,US,USD,0.0,0.0,242.79
114-2305417-5440575,2025-01-18,03:55:29,Shipped,FBA,Amazon.com,Two-Day,CUST-00549,WI,Springfield,18585,US,USD,0.0,0.0,48.58
114-4587039-4777499,2025-01-18,09:12:38,Shipped,FBM,Amazon.com,Standard,CUST-00098,CO,Fairview,74248,US,USD,4.71,0.0,26.35
114-6319782-2926888,2025-01-18,20:33:33,Shipped,FBA,Amazon.com,Two-Day,CUST-01096,CA,Los Angeles,70661,US,USD,0.0,0.0,10.4
114-7700086-8527111,2025-01-18,13:46:08,Canceled,FBA,Amazon.com,Two-Day,CUST-00409,TX,San Antonio,90713,US,USD,0.0,0.0,67.82
114-9863265-2178359,2025-01-18,18:02:32,Shipped,FBA,Amazon.com,Standard,CUST-01028,TX,Dallas,28161,US,USD,0.0,0.0,102.7
114-1045975-6355401,2025-01-19,19:12:51,Shipped,FBA,Amazon.com,Two-Day,CUST-01574,WV,Georgetown,89873,US,USD,0.0,0.0,17.61
114-1799682-7319483,2025-01-19,04:22:25,Unshipped,FBA,Amazon.com,Two-Day,CUST-00221,NJ,Jersey City,51383,US,USD,0.0,0.0,30.93
114-1806532-5368216,2025-01-19,06:03:50,Shipped,FBA,Amazon.com,Two-Day,CUST-00452,CA,Los Angeles,83100,US,USD,0.0,0.0,74.18
114-5489668-5807929,2025-01-19,04:03:34,Shipped,FBA,Amazon.com,Standard,CUST-01363,PA,Allentown,30498,US,USD,0.0,0.0,43.95
114-6997357-2817908,2025-01-19,02:24:32,Shipped,FBA,Amazon.com,Two-Day,CUST-00590,NC,Raleigh,64831,US,USD,0.0,0.0,55.86
114-1353880-4813396,2025-01-20,11:23:36,Shipped,FBM,Amazon.com,Standard,CUST-00016,PA,Erie,82869,US,USD,4.42,0.0,19.73
114-3110130-7812489,2025-01-20,10:00:21,Shipped,FBA,Amazon.com,Two-Day,CUST-00186,FL,Miami,77720,US,USD,0.0,0.0,86.36
114-3368935-8058155,2025-01-20,01:44:37,Shipped,FBA,Amazon.com,Standard,CUST-01430,TX,San Antonio,68114,US,USD,0.0,0.0,82.17
114-3920867-1436887,2025-01-20,04:52:40,Shipped,FBM,Amazon.com,Expedited,CUST-00188,CA,Sacramento,94341,US,USD,4.0,0.0,180.09
114-5342322-7131060,2025-01-20,02:15:46,Shipped,FBM,Amazon.com,Expedited,CUST-01051,OH,Toledo,25715,US,USD,5.52,0.0,189.73
114-6661219-8316922,2025-01-20,10:35:07,Shipped,FBA,Amazon.com,Standard,CUST-00749,IL,Chicago,46231,US,USD,0.0,0.0,531.51
114-8270280-4112947,2025-01-20,09:57:04,Shipped,FBA,Amazon.com,Two-Day,CUST-00874,OK,Springfield,45405,US,USD,0.0,0.0,107.91
114-6249530-1044315,2025-01-21,02:55:07,Shipped,FBA,Amazon.com,Standard,CUST-00302,AL,Georgetown,76155,US,USD,0.0,0.0,123.03
114-7094896-5747880,2025-01-21,11:27:24,Canceled,FBA,Amazon.com,Standard,CUST-00930,PA,Pittsburgh,46659,US,USD,0.0,0.0,12.73
114-7102335-8878118,2025-01-21,08:17:03,Shipped,FBA,Amazon.com,Two-Day,CUST-00501,AL,Georgetown,88372,US,USD,0.0,0.0,191.89
114-7323816-3806405,2025-01-21,06:50:26,Shipped,FBA,Amazon.com,Two-Day,CUST-00257,CA,Fresno,99737,US,USD,0.0,0.0,60.8
114-5821676-5867906,2025-01-22,09:06:07,Shipped,FBM,Amazon.com,Standard,CUST-01040,ID,Fairview,35971,US,USD,4.1,0.0,60.06
114-6597927-1683432,2025-01-22,01:58:05,Pending,FBA,Amazon.com,Standard,CUST-01565,FL,Tampa,54212,US,USD,0.0,0.0,103.11
114-2506164-7134379,2025-01-23,09:21:25,Shipped,FBM,Amazon.com,Standard,CUST-01231,NC,Raleigh,78149,US,USD,7.43,0.0,84.0
114-3760251-5920470,2025-01-23,12:55:39,Shipped,FBA,Amazon.com,Two-Day,CUST-01614,CA,San Jose,72805,US,USD,0.0,0.0,40.21
114-4126898-9576687,2025-01-23,07:54:40,Shipped,FBA,Amazon.com,Two-Day,CUST-01503,NJ,Paterson,24331,US,USD,0.0,0.0,10.4
114-5448799-6922990,2025-01-23,23:44:37,Shipped,FBA,Amazon.com,Two-Day,CUST-00514,OH,Cleveland,77917,US,USD,0.0,0.0,215.82
114-8658638-1900696,2025-01-23,23:05:49,Shipped,FBA,Amazon.com,Two-Day,CUST-01799,MS,Georgetown,99170,US,USD,0.0,0.0,73.01
114-9853438-8142002,2025-01-23,23:54:10,Canceled,FBA,Amazon.com,Two-Day,CUST-00991,CA,San Diego,17088,US,USD,0.0,0.0,37.09
114-1454152-8359875,2025-01-24,02:53:13,Shipped,FBA,Amazon.com,Two-Day,CUST-01290,NC,Raleigh,47350,US,USD,0.0,0.0,52.83
114-2126339-6717009,2025-01-24,05:46:04,Shipped,FBA,Amazon.com,Two-Day,CUST-00201,LA,Centerville,27548,US,USD,0.0,0.0,70.82
114-3517354-6772800,2025-01-24,03:20:56,Shipped,FBM,Amazon.com,Standard,CUST-00570,OR,Riverside,65426,US,USD,4.84,0.0,26.16
114-3559036-6046799,2025-01-24,17:18:18,Shipped,FBA,Amazon.com,Two-Day,CUST-00734,PA,Allentown,82680,US,USD,0.0,0.0,177.4
114-4870860-8353822,2025-01-24,16:59:52,Shipped,FBM,Amazon.com,Standard,CUST-01311,CA,Fresno,89864,US,USD,4.34,1.07,26.88
114-5611896-1801386,2025-01-24,04:29:20,Shipped,FBM,Amazon.com,Scheduled,CUST-01703,PA,Erie,78819,US,USD,5.8,0.0,138.23
114-6127143-6354067,2025-01-24,06:17:11,Shipped,FBM,Amazon.com,Standard,CUST-00090,VA,Virginia Beach,29762,US,USD,6.87,0.0,38.46
114-8203855-8301883,2025-01-24,20:19:24,Shipped,FBA,Amazon.com,Two-Day,CUST-01779,UT,Fairview,97139,US,USD,0.0,0.0,69.33
114-9122495-8699037,2025-01-24,16:20:54,Shipped,FBA,Amazon.com,Two-Day,CUST-00328,CO,Centerville,72108,US,USD,0.0,0.0,102.48
114-1477613-2002200,2025-01-25,08:19:59,Shipped,FBA,Amazon.com,Two-Day,CUST-01020,AL,Springfield,46040,US,USD,0.0,0.0,50.86
114-4436533-9462161,2025-01-25,04:58:06,Shipped,FBA,Amazon.com,Two-Day,CUST-00231,CA,San Jose,90318,US,USD,0.0,2.51,29.39
114-7469859-1682526,2025-01-25,11:41:59,Shipped,FBA,Amazon.com,Two-Day,CUST-00391,WA,Spokane,99327,US,USD,0.0,0.0,123.72
114-2302184-8652215,2025-01-26,13:41:35,Shipped,FBA,Amazon.com,Standard,CUST-01519,OH,Cleveland,79459,US,USD,0.0,0.0,37.09
114-3515004-3915490,2025-01-26,23:18:10,Shipped,FBA,Amazon.com,Two-Day,CUST-00684,NY,Rochester,28878,US,USD,0.0,0.0,8.44
114-3569789-6676257,2025-01-26,14:23:25,Shipped,FBA,Amazon.com,Two-Day,CUST-00984,DE,Centerville,44449,US,USD,0.0,1.62,11.82
114-4018266-9516874,2025-01-26,14:55:25,Shipped,FBM,Amazon.com,Scheduled,CUST-00245,NC,Raleigh,96772,US,USD,4.28,0.0,42.78
114-5811637-1250389,2025-01-26,09:12:51,Shipped,FBA,Amazon.com,Standard,CUST-01190,NC,Charlotte,40366,US,USD,0.0,6.24,47.92
114-7621224-1360346,2025-01-26,01:32:56,Shipped,FBA,Amazon.com,Standard,CUST-01116,WI,Riverside,41013,US,USD,0.0,0.95,52.94
114-7851627-2720485,2025-01-26,12:01:08,Shipped,FBM,Amazon.com,Expedited,CUST-00732,UT,Springfield,82704,US,USD,5.23,0.0,59.15
114-2513753-4819524,2025-01-27,00:05:05,Shipped,FBA,Amazon.com,Standard,CUST-00445,NC,Durham,52498,US,USD,0.0,0.0,177.4
114-5558809-9958767,2025-01-27,12:03:11,Pending,FBA,Amazon.com,Two-Day,CUST-01129,CA,San Jose,95620,US,USD,0.0,0.0,39.53
114-6342149-4274222,2025-01-27,04:54:36,Shipped,FBA,Amazon.com,Two-Day,CUST-01553,NY,New York,19932,US,USD,0.0,3.69,45.56
114-6641380-4895221,2025-01-27,05:00:07,Shipped,FBA,Amazon.com,Two-Day,CUST-00389,UT,Springfield,21866,US,USD,0.0,0.0,54.16
114-8462889-2266075,2025-01-27,14:51:15,Shipped,FBM,Amazon.com,Standard,CUST-01549,SC,Springfield,22004,US,USD,6.51,0.0,48.69
114-2660439-7700253,2025-01-28,08:18:41,Pending,FBM,Amazon.com,Standard,CUST-00795,MO,Fairview,27598,US,USD,4.91,0.0,24.33
114-3521576-1377946,2025-01-28,19:37:03,Shipped,FBM,Amazon.com,Standard,CUST-00362,AL,Georgetown,99848,US,USD,5.86,0.0,75.13
114-3653244-6022620,2025-01-28,16:36:26,Shipped,FBA,Amazon.com,Expedited,CUST-00981,CA,San Francisco,43557,US,USD,0.0,0.0,35.22
114-6808201-6787480,2025-01-28,05:07:47,Shipped,FBA,Amazon.com,Two-Day,CUST-00679,OR,Georgetown,21161,US,USD,0.0,0.0,38.93
114-7791754-9460643,2025-01-28,04:00:51,Shipped,FBM,Amazon.com,Expedited,CUST-01051,OH,Toledo,25715,US,USD,5.13,0.0,70.95
114-9405210-7040607,2025-01-28,16:02:53,Shipped,FBM,Amazon.com,Standard,CUST-00840,LA,Centerville,85617,US,USD,5.05,0.0,57.85
114-1739811-6686039,2025-01-29,17:42:02,Shipped,FBA,Amazon.com,Two-Day,CUST-01713,ME,,45338,US,USD,0.0,0.0,79.7
114-1875987-7713531,2025-01-29,21:24:30,Shipped,FBA,Amazon.com,Standard,CUST-00755,MA,Springfield,21255,US,USD,0.0,0.0,8.44
114-2930092-1449972,2025-01-29,21:37:10,Shipped,FBA,Amazon.com,Two-Day,CUST-00103,TX,Austin,96725,US,USD,0.0,6.49,244.93
114-4638089-4023661,2025-01-29,09:43:17,Shipped,FBA,Amazon.com,Standard,CUST-00934,AL,Centerville,33791,US,USD,0.0,0.0,59.46
114-6298762-5067188,2025-01-29,15:38:27,Shipped,FBM,Amazon.com,Expedited,CUST-00868,FL,Miami,34651,US,USD,6.28,0.0,251.54
114-6517245-1024999,2025-01-29,14:15:37,Shipped,FBM,Amazon.com,Expedited,CUST-01790,MI,Grand Rapids,63465,US,USD,4.0,0.0,43.53
114-8870858-1201686,2025-01-29,11:26:45,Shipped,FBM,Amazon.com,Standard,CUST-00911,VA,Norfolk,46773,US,USD,6.56,0.0,48.74
114-4985461-2247754,2025-01-30,18:08:42,Shipped,FBM,Amazon.com,Standard,CUST-01790,MI,Grand Rapids,63465,US,USD,4.38,0.0,176.69
114-8209168-3682694,2025-01-30,12:56:50,Shipped,FBA,Amazon.com,Two-Day,CUST-01436,IA,Springfield,93631,US,USD,0.0,0.0,77.0
114-9027107-5242633,2025-01-30,07:16:51,Shipped,FBA,Amazon.com,Standard,CUST-01318,WA,Bellevue,38613,US,USD,0.0,0.0,260.47
114-9736811-2480839,2025-01-30,02:49:59,Shipped,FBA,Amazon.com,Two-Day,CUST-01680,AK,Centerville,26326,US,USD,0.0,0.0,57.15
114-1053903-6685858,2025-01-31,07:20:49,Shipped,FBA,Amazon.com,Standard,CUST-01311,CA,Fresno,89864,US,USD,0.0,0.0,21.64
114-1200078-7056809,2025-01-31,08:32:20,Shipped,FBM,Amazon.com,Standard,CUST-00005,OH,Cleveland,29735,US,USD,6.08,0.0,30.9
114-2403528-8609301,2025-01-31,05:28:50,Shipped,FBA,Amazon.com,Standard,CUST-01356,NC,Durham,10064,US,USD,0.0,0.0,128.95
114-4562779-5139809,2025-01-31,05:15:43,Shipped,FBM,Amazon.com,Standard,CUST-01190,NC,Charlotte,40366,US,USD,7.41,14.9,212.11
114-6975721-4087244,2025-01-31,04:13:48,Shipped,FBA,Amazon.com,Two-Day,CUST-01157,CO,Fairview,33433,US,USD,0.0,0.0,91.64
114-7538758-4697229,2025-01-31,10:00:54,Shipped,FBA,Amazon.com,Standard,CUST-01378,MD,Riverside,25622,US,USD,0.0,0.0,67.82
114-8537680-7335498,2025-01-31,03:37:53,Shipped,FBM,Amazon.com,Standard,CUST-00954,SC,Springfield,40827,US,USD,7.41,0.0,61.57
114-9663986-5289121,2025-01-31,11:03:34,Shipped,FBM,Amazon.com,Standard,CUST-01099,MA,Worcester,77667,US,USD,4.11,0.0,31.07
114-9789963-9549184,2025-01-31,12:57:32,Shipped,FBA,Amazon.com,Standard,CUST-00608,NV,Georgetown,96246,US,USD,0.0,0.63,7.81
114-3372887-6968855,2025-02-01,13:51:05,Shipped,FBA,Amazon.com,Standard,CUST-00005,OH,Cleveland,29735,US,USD,0.0,0.0,96.41
114-4790098-5772954,2025-02-01,01:01:48,Pending,FBA,Amazon.com,Two-Day,CUST-00009,ID,Springfield,76247,US,USD,0.0,0.0,53.61
114-5134851-7799596,2025-02-01,09:38:12,Pending,FBM,Amazon.com,Standard,CUST-00550,TX,Austin,96214,US,USD,4.2,0.0,312.93
114-1775794-4450101,2025-02-02,05:27:29,Shipped,FBA,Amazon.com,Expedited,CUST-00502,FL,Miami,87421,US,USD,0.0,0.0,53.92
114-1879381-9830240,2025-02-02,01:11:33,Shipped,FBM,Amazon.com,Standard,CUST-00942,CA,Sacramento,64432,US,USD,4.25,0.0,273.44
114-6583198-1813885,2025-02-02,04:35:17,Shipped,FBA,Amazon.com,Standard,CUST-00474,NM,Fairview,16758,US,USD,0.0,0.0,449.21
114-1989793-8691018,2025-02-03,11:46:33,Shipped,FBA,Amazon.com,Standard,CUST-00376,ID,Centerville,98538,US,USD,0.0,0.0,67.82
114-3037405-3210560,2025-02-03,18:46:58,Pending,FBM,Amazon.com,Expedited,CUST-01390,NC,Charlotte,27997,US,USD,7.11,0.0,110.35
114-9435523-8354796,2025-02-03,01:24:03,Shipped,FBM,Amazon.com,Standard,CUST-00453,TX,Fort Worth,76524,US,USD,7.61,0.0,91.22
114-1987290-3982265,2025-02-04,01:06:18,Shipped,FBM,Amazon.com,Standard,CUST-01498,OH,Cincinnati,88660,US,USD,7.75,0.0,133.68
