asin,month,sessions,page_views,units_ordered,buy_box_percentage
B08H6XVAML,2025-05,118,168,5,0.93
B08H6XVAML,2025-06,214,267,8,0.86
B08H6XVAML,2025-07,147,208,7,1.0
B08H6XVAML,2025-08,271,323,12,0.87
B08H6XVAML,2025-09,160,229,6,0.98
B08H6XVAML,2025-10,178,267,8,0.94
B08H6XVAML,2025-11,172,220,7,0.97
B08H6XVAML,2025-12,146,214,7,0.89
B08H6XVAML,2026-01,143,189,6,0.94
B08H6XVAML,2026-02,121,169,6,0.87
B08H6XVAML,2026-03,97,144,4,0.93
B08H6XVAML,2026-04,271,418,10,1.0
B08H6XVAML,2026-05,288,357,14,0.94
B08H6XVAML,2026-06,75,105,3,0.93
B088K2QTZJ,2025-01,74,96,6,1.0
B088K2QTZJ,2025-02,24,37,2,0.91
B088K2QTZJ,2025-03,11,16,1,0.89
B088K2QTZJ,2025-04,91,137,8,0.88
B088K2QTZJ,2025-05,90,137,8,0.9
B088K2QTZJ,2025-06,16,21,1,0.95
B088K2QTZJ,2025-07,111,139,8,0.86
B088K2QTZJ,2025-08,84,122,6,0.94
B088K2QTZJ,2025-09,45,55,4,0.88
B088K2QTZJ,2025-10,100,154,7,0.98
B088K2QTZJ,2025-11,108,130,7,0.91
B088K2QTZJ,2025-12,156,186,11,0.86
B088K2QTZJ,2026-01,78,91,6,0.87
B088K2QTZJ,2026-02,89,113,6,0.89
B088K2QTZJ,2026-03,48,64,4,0.95
B088K2QTZJ,2026-04,131,194,11,0.92
B088K2QTZJ,2026-05,189,264,12,0.91
B088K2QTZJ,2026-06,74,91,6,0.94
B06AZNEH47,2025-01,53,63,6,0.86
B06AZNEH47,2025-02,7,9,1,0.88
B06AZNEH47,2025-03,18,21,2,0.97
B06AZNEH47,2025-04,15,18,2,0.92
B06AZNEH47,2025-05,36,50,4,0.9
B06AZNEH47,2025-06,24,37,3,0.93
B06AZNEH47,2025-07,26,36,4,0.94
B06AZNEH47,2025-08,36,48,4,0.87
B06AZNEH47,2025-09,21,25,3,0.99
B06AZNEH47,2025-10,56,70,7,0.91
B06AZNEH47,2025-11,33,49,4,0.88
B06AZNEH47,2025-12,22,30,3,0.97
B06AZNEH47,2026-01,22,28,3,1.0
B06AZNEH47,2026-02,24,36,3,0.88
B06AZNEH47,2026-03,46,58,6,0.96
B06AZNEH47,2026-04,23,31,3,0.97
B06AZNEH47,2026-05,51,68,6,0.97
B06AZNEH47,2026-06,9,12,1,0.93
B0H9GJQWK8,2025-01,11,15,1,0.96
B0H9GJQWK8,2025-02,131,200,0,0.91
B0H9GJQWK8,2025-03,79,121,0,1.0
B0H9GJQWK8,2025-04,128,167,0,0.95
B0H9GJQWK8,2025-05,10,15,1,0.89
B0H9GJQWK8,2025-06,9,13,1,0.88
B0H9GJQWK8,2025-07,28,43,3,0.94
B0H9GJQWK8,2025-08,86,128,0,0.95
B0H9GJQWK8,2025-09,84,105,0,0.88
B0H9GJQWK8,2025-10,19,29,0,0.92
B0H9GJQWK8,2025-11,149,222,0,0.92
B0H9GJQWK8,2025-12,7,9,0,0.9
B0H9GJQWK8,2026-01,9,11,1,0.99
B0H9GJQWK8,2026-02,120,141,0,0.99
B0H9GJQWK8,2026-03,40,53,0,0.88
B0H9GJQWK8,2026-04,11,14,1,0.88
B0H9GJQWK8,2026-05,138,195,0,0.96
B0H9GJQWK8,2026-06,10,15,1,0.88
B0M2QT36J4,2025-01,20,24,2,0.89
B0M2QT36J4,2025-02,112,130,0,0.95
B0M2QT36J4,2025-03,20,27,2,0.94
B0M2QT36J4,2025-04,56,71,6,0.99
B0M2QT36J4,2025-05,21,28,2,0.97
B0M2QT36J4,2025-06,33,41,3,0.86
B0M2QT36J4,2025-07,20,31,2,0.91
B0M2QT36J4,2025-08,39,58,4,0.87
B0M2QT36J4,2025-09,23,27,2,0.94
B0M2QT36J4,2025-10,26,36,3,0.93
B0M2QT36J4,2025-11,73,90,6,1.0
B0M2QT36J4,2025-12,27,41,3,0.86
B0M2QT36J4,2026-01,20,26,2,0.95
B0M2QT36J4,2026-02,59,79,5,0.94
B0M2QT36J4,2026-03,46,61,5,0.88
B0M2QT36J4,2026-04,45,59,4,0.9
B0M2QT36J4,2026-05,140,182,0,0.91
B0M2QT36J4,2026-06,39,57,4,0.93
B0YXU5G7D1,2025-01,76,89,8,0.97
B0YXU5G7D1,2025-02,32,46,3,0.92
B0YXU5G7D1,2025-03,131,157,12,0.88
B0YXU5G7D1,2025-04,32,45,3,0.95
B0YXU5G7D1,2025-05,66,94,8,0.92
B0YXU5G7D1,2025-06,28,39,3,0.95
B0YXU5G7D1,2025-07,68,103,8,0.97
B0YXU5G7D1,2025-08,67,101,6,0.99
B0YXU5G7D1,2025-09,11,17,1,0.98
B0YXU5G7D1,2025-10,85,121,10,0.95
B0YXU5G7D1,2025-11,124,186,13,0.89
B0YXU5G7D1,2025-12,84,120,8,1.0
B0YXU5G7D1,2026-01,113,141,12,0.9
B0YXU5G7D1,2026-02,32,37,3,0.94
B0YXU5G7D1,2026-03,20,24,2,0.87
B0YXU5G7D1,2026-04,67,89,6,0.86
B0YXU5G7D1,2026-05,111,140,11,0.99
B0YXU5G7D1,2026-06,66,96,8,0.94
B0671R2A1G,2025-01,87,102,0,0.88
B0671R2A1G,2025-02,21,32,0,0.94
B0671R2A1G,2025-03,14,20,2,0.96
B0671R2A1G,2025-04,18,23,0,0.87
B0671R2A1G,2025-05,34,47,5,0.87
B0671R2A1G,2025-06,22,29,3,0.95
B0671R2A1G,2025-07,17,24,2,0.88
B0671R2A1G,2025-08,7,10,1,0.93
B0671R2A1G,2025-09,23,28,3,0.87
B0671R2A1G,2025-10,73,87,0,0.88
B0671R2A1G,2025-11,15,18,2,0.94
B0671R2A1G,2025-12,19,29,3,0.95
B0671R2A1G,2026-01,8,9,1,0.93
B0671R2A1G,2026-02,137,170,0,0.87
B0671R2A1G,2026-03,29,42,4,0.93
B0671R2A1G,2026-04,8,11,1,0.99
B0671R2A1G,2026-05,96,112,0,0.99
B0671R2A1G,2026-06,21,26,3,1.0
B0K12NKA8N,2025-01,16,24,2,0.97
B0K12NKA8N,2025-02,24,31,3,0.94
B0K12NKA8N,2025-03,41,59,4,0.93
B0K12NKA8N,2025-04,8,11,1,0.89
B0K12NKA8N,2025-05,17,20,2,0.93
B0K12NKA8N,2025-06,116,147,0,0.99
B0K12NKA8N,2025-07,48,74,5,0.97
B0K12NKA8N,2025-08,10,14,1,0.94
B0K12NKA8N,2025-09,98,124,0,0.9
B0K12NKA8N,2025-10,134,191,0,0.9
B0K12NKA8N,2025-11,26,35,3,0.86
B0K12NKA8N,2025-12,53,70,6,0.96
B0K12NKA8N,2026-01,10,12,1,0.93
B0K12NKA8N,2026-02,38,52,5,0.97
B0K12NKA8N,2026-03,21,25,2,0.93
B0K12NKA8N,2026-04,29,37,3,0.88
B0K12NKA8N,2026-05,12,17,0,0.89
B0K12NKA8N,2026-06,16,21,2,0.92
B0279XVVC5,2025-01,128,170,12,0.88
B0279XVVC5,2025-02,113,168,10,0.95
B0279XVVC5,2025-03,239,311,18,1.0
B0279XVVC5,2025-04,59,71,5,0.94
B0279XVVC5,2025-05,123,143,11,0.92
B0279XVVC5,2025-06,82,100,6,0.94
B0279XVVC5,2025-07,140,200,11,0.92
B0279XVVC5,2025-08,56,66,5,0.97
B0279XVVC5,2025-09,112,158,9,0.92
B0279XVVC5,2025-10,276,342,20,0.89
B0279XVVC5,2025-11,292,427,23,0.94
B0279XVVC5,2025-12,176,216,15,0.99
B0279XVVC5,2026-01,107,157,9,0.94
B0279XVVC5,2026-02,106,142,9,0.95
B0279XVVC5,2026-03,236,354,17,1.0
B0279XVVC5,2026-04,99,115,7,0.91
B0279XVVC5,2026-05,105,125,10,0.91
B0279XVVC5,2026-06,146,216,10,0.9
B0WR597BPU,2025-01,109,129,0,0.91
B0WR597BPU,2025-02,14,18,0,0.89
B0WR597BPU,2025-03,89,115,0,0.87
B0WR597BPU,2025-04,61,90,0,0.99
B0WR597BPU,2025-05,138,211,0,0.95
B0WR597BPU,2025-06,79,111,0,0.95
B0WR597BPU,2025-07,99,143,4,0.98
B0WR597BPU,2025-08,10,15,0,0.87
B0WR597BPU,2025-09,51,61,2,0.91
B0WR597BPU,2025-10,101,152,0,0.91
B0WR597BPU,2025-11,25,34,1,0.87
B0WR597BPU,2025-12,19,27,1,0.88
B0WR597BPU,2026-01,48,59,0,0.99
B0WR597BPU,2026-02,53,76,0,0.96
B0WR597BPU,2026-03,127,188,0,0.93
B0WR597BPU,2026-04,54,68,0,0.97
B0WR597BPU,2026-05,128,190,0,0.92
B0WR597BPU,2026-06,132,160,0,0.9
B08RJE02WW,2025-01,70,84,5,0.91
B08RJE02WW,2025-02,32,43,2,0.88
B08RJE02WW,2025-03,82,126,6,0.86
B08RJE02WW,2025-04,44,62,3,0.94
B08RJE02WW,2025-05,103,135,6,0.87
B08RJE02WW,2025-06,104,136,0,0.87
B08RJE02WW,2025-07,30,42,2,0.96
B08RJE02WW,2025-08,64,76,0,0.98
B08RJE02WW,2025-09,32,38,2,0.88
B08RJE02WW,2025-10,161,186,9,0.93
B08RJE02WW,2025-11,45,57,3,0.98
B08RJE02WW,2025-12,49,59,3,0.96
B08RJE02WW,2026-01,15,22,1,0.94
B08RJE02WW,2026-02,40,60,3,0.98
B08RJE02WW,2026-03,16,20,0,0.9
B08RJE02WW,2026-04,79,99,0,0.92
B08RJE02WW,2026-05,65,83,4,0.97
B08RJE02WW,2026-06,15,21,1,0.96
B0CPNCKVZR,2025-01,12,17,1,0.63
B0CPNCKVZR,2025-02,60,72,0,0.82
B0CPNCKVZR,2025-03,60,79,0,0.59
B0CPNCKVZR,2025-04,60,88,0,0.71
B0CPNCKVZR,2025-05,60,73,0,0.83
B0CPNCKVZR,2025-06,60,88,0,0.73
B0CPNCKVZR,2025-07,53,66,0,0.61
B0CPNCKVZR,2025-08,29,34,0,0.72
B0CPNCKVZR,2025-09,60,71,0,0.6
B0CPNCKVZR,2025-10,12,15,1,0.71
B0CPNCKVZR,2025-11,27,39,0,0.5
B0CPNCKVZR,2025-12,27,38,0,0.7
B0CPNCKVZR,2026-01,60,81,0,0.59
B0CPNCKVZR,2026-02,60,88,0,0.77
B0CPNCKVZR,2026-03,40,62,0,0.55
B0CPNCKVZR,2026-04,60,92,0,0.59
B0CPNCKVZR,2026-05,60,92,0,0.81
B0CPNCKVZR,2026-06,60,73,0,0.82
B0Q85PD1G6,2025-01,11,15,1,0.96
B0Q85PD1G6,2025-02,127,182,0,0.96
B0Q85PD1G6,2025-03,84,119,6,0.98
B0Q85PD1G6,2025-04,12,17,1,0.88
B0Q85PD1G6,2025-05,23,35,2,0.89
B0Q85PD1G6,2025-06,94,130,7,0.95
B0Q85PD1G6,2025-07,37,57,3,0.92
B0Q85PD1G6,2025-08,28,35,2,0.94
B0Q85PD1G6,2025-09,28,41,2,0.89
B0Q85PD1G6,2025-10,14,21,1,0.86
B0Q85PD1G6,2025-11,40,59,3,0.89
B0Q85PD1G6,2025-12,47,66,4,0.98
B0Q85PD1G6,2026-01,84,117,7,0.99
B0Q85PD1G6,2026-02,14,18,1,0.95
B0Q85PD1G6,2026-03,11,17,1,0.97
B0Q85PD1G6,2026-04,23,27,2,0.88
B0Q85PD1G6,2026-05,41,47,3,0.99
B0Q85PD1G6,2026-06,76,113,7,0.98
B0W61EHTPX,2025-01,60,74,0,0.71
B0W61EHTPX,2025-02,60,71,0,0.76
B0W61EHTPX,2025-03,60,77,0,0.72
B0W61EHTPX,2025-04,60,78,0,0.67
B0W61EHTPX,2025-05,60,83,0,0.52
B0W61EHTPX,2025-06,22,32,0,0.78
B0W61EHTPX,2025-07,60,71,0,0.6
B0W61EHTPX,2025-08,22,30,0,0.74
B0W61EHTPX,2025-09,60,86,0,0.53
B0W61EHTPX,2025-10,15,19,0,0.72
B0W61EHTPX,2025-11,60,77,0,0.57
B0W61EHTPX,2025-12,60,73,0,0.53
B0W61EHTPX,2026-01,26,37,0,0.72
B0W61EHTPX,2026-02,60,84,0,0.84
B0W61EHTPX,2026-03,12,18,0,0.51
B0W61EHTPX,2026-04,60,83,0,0.73
B0W61EHTPX,2026-05,60,81,0,0.51
B0W61EHTPX,2026-06,39,45,4,0.67
B0DDA4EXPW,2025-01,8,12,1,0.88
B0DDA4EXPW,2025-02,53,71,0,0.94
B0DDA4EXPW,2025-03,9,14,1,0.87
B0DDA4EXPW,2025-04,100,149,0,0.97
B0DDA4EXPW,2025-05,41,60,0,0.95
B0DDA4EXPW,2025-06,45,69,0,0.97
B0DDA4EXPW,2025-07,96,118,0,0.98
B0DDA4EXPW,2025-08,92,110,0,0.95
B0DDA4EXPW,2025-09,103,146,0,0.98
B0DDA4EXPW,2025-10,64,85,0,0.94
B0DDA4EXPW,2025-11,9,11,1,0.92
B0DDA4EXPW,2025-12,122,147,0,0.93
B0DDA4EXPW,2026-01,102,138,0,0.96
B0DDA4EXPW,2026-02,44,68,0,0.93
B0DDA4EXPW,2026-03,8,10,1,0.99
B0DDA4EXPW,2026-04,68,104,0,0.95
B0DDA4EXPW,2026-05,108,142,0,0.9
B0DDA4EXPW,2026-06,8,10,1,0.86
B07GWT52HM,2025-01,101,144,0,0.86
B07GWT52HM,2025-02,104,149,0,0.88
B07GWT52HM,2025-03,130,178,0,0.94
B07GWT52HM,2025-04,5,7,0,0.92
B07GWT52HM,2025-05,133,194,0,0.92
B07GWT52HM,2025-06,39,46,2,0.9
B07GWT52HM,2025-07,40,56,2,0.99
B07GWT52HM,2025-08,19,25,1,0.91
B07GWT52HM,2025-09,16,24,0,0.91
B07GWT52HM,2025-10,65,93,0,0.98
B07GWT52HM,2025-11,15,22,0,0.88
B07GWT52HM,2025-12,22,32,0,0.91
B07GWT52HM,2026-01,48,73,0,0.91
B07GWT52HM,2026-02,88,113,0,0.93
B07GWT52HM,2026-03,63,91,0,0.92
B07GWT52HM,2026-04,15,20,1,0.98
B07GWT52HM,2026-05,15,20,1,0.87
B07GWT52HM,2026-06,19,27,1,0.97
B0SFWKQDD5,2025-01,10,13,1,0.98
B0SFWKQDD5,2025-02,11,15,1,0.97
B0SFWKQDD5,2025-03,11,15,1,0.9
B0SFWKQDD5,2025-04,18,25,2,0.87
B0SFWKQDD5,2025-05,19,27,2,0.87
B0SFWKQDD5,2025-06,41,56,4,0.89
B0SFWKQDD5,2025-07,30,43,0,0.98
B0SFWKQDD5,2025-08,55,67,6,0.99
B0SFWKQDD5,2025-09,44,53,5,0.99
B0SFWKQDD5,2025-10,34,46,4,0.93
B0SFWKQDD5,2025-11,9,11,1,0.98
B0SFWKQDD5,2025-12,69,102,7,0.94
B0SFWKQDD5,2026-01,9,12,1,0.99
B0SFWKQDD5,2026-02,36,46,4,0.87
B0SFWKQDD5,2026-03,27,34,3,0.93
B0SFWKQDD5,2026-04,143,217,0,0.94
B0SFWKQDD5,2026-05,44,51,4,0.89
B0SFWKQDD5,2026-06,15,23,0,0.9
B0UFTNZLYW,2025-01,31,47,0,0.95
B0UFTNZLYW,2025-02,8,11,1,0.96
B0UFTNZLYW,2025-03,110,142,0,0.97
B0UFTNZLYW,2025-04,59,69,0,0.93
B0UFTNZLYW,2025-05,81,121,0,0.97
B0UFTNZLYW,2025-06,14,18,2,0.86
B0UFTNZLYW,2025-07,24,34,3,0.91
B0UFTNZLYW,2025-08,106,151,0,0.95
B0UFTNZLYW,2025-09,56,67,0,0.88
B0UFTNZLYW,2025-10,21,28,3,0.9
B0UFTNZLYW,2025-11,2,3,0,0.95
B0UFTNZLYW,2025-12,69,106,0,0.94
B0UFTNZLYW,2026-01,133,160,0,0.9
B0UFTNZLYW,2026-02,25,30,0,0.88
B0UFTNZLYW,2026-03,75,113,0,0.91
B0UFTNZLYW,2026-04,33,41,0,0.98
B0UFTNZLYW,2026-05,8,10,1,0.97
B0UFTNZLYW,2026-06,36,47,0,0.96
B0M9299AJ4,2025-01,70,94,0,0.95
B0M9299AJ4,2025-02,14,21,1,0.87
B0M9299AJ4,2025-03,111,163,0,0.93
B0M9299AJ4,2025-04,38,50,3,0.91
B0M9299AJ4,2025-05,129,172,0,0.96
B0M9299AJ4,2025-06,143,216,0,0.9
B0M9299AJ4,2025-07,15,22,1,0.89
B0M9299AJ4,2025-08,25,33,2,1.0
B0M9299AJ4,2025-09,38,50,3,0.88
B0M9299AJ4,2025-10,12,15,1,0.99
B0M9299AJ4,2025-11,49,75,4,0.94
B0M9299AJ4,2025-12,24,34,2,0.93
B0M9299AJ4,2026-01,49,57,4,0.92
B0M9299AJ4,2026-02,51,61,4,0.97
B0M9299AJ4,2026-03,76,97,0,0.96
B0M9299AJ4,2026-04,28,34,2,0.96
B0M9299AJ4,2026-05,85,106,7,0.87
B0M9299AJ4,2026-06,15,21,1,0.88
B0WKPVSC0B,2025-01,23,33,2,0.89
B0WKPVSC0B,2025-02,59,88,0,0.96
B0WKPVSC0B,2025-03,31,36,3,0.91
B0WKPVSC0B,2025-04,21,32,0,0.99
B0WKPVSC0B,2025-05,11,17,1,0.92
B0WKPVSC0B,2025-06,11,14,1,0.88
B0WKPVSC0B,2025-07,10,13,1,0.98
B0WKPVSC0B,2025-08,42,57,0,0.99
B0WKPVSC0B,2025-09,31,44,0,0.96
B0WKPVSC0B,2025-10,29,36,3,0.9
B0WKPVSC0B,2025-11,31,41,3,0.87
B0WKPVSC0B,2025-12,41,51,4,0.92
B0WKPVSC0B,2026-01,93,132,0,0.95
B0WKPVSC0B,2026-02,11,13,1,0.87
B0WKPVSC0B,2026-03,60,84,0,0.88
B0WKPVSC0B,2026-04,105,148,0,0.95
B0WKPVSC0B,2026-05,34,49,3,0.96
B0WKPVSC0B,2026-06,59,78,0,0.96
B0GDNTQUXZ,2025-01,120,158,0,0.88
B0GDNTQUXZ,2025-02,95,121,0,0.96
B0GDNTQUXZ,2025-03,110,127,0,0.87
B0GDNTQUXZ,2025-04,27,33,0,0.98
B0GDNTQUXZ,2025-05,113,152,0,0.95
B0GDNTQUXZ,2025-06,122,149,0,0.98
B0GDNTQUXZ,2025-07,101,144,0,0.92
B0GDNTQUXZ,2025-08,20,26,0,0.88
B0GDNTQUXZ,2025-09,148,193,0,0.92
B0GDNTQUXZ,2025-10,74,110,0,0.89
B0GDNTQUXZ,2025-11,23,34,1,0.95
B0GDNTQUXZ,2025-12,25,38,0,0.9
B0GDNTQUXZ,2026-01,3,4,0,0.97
B0GDNTQUXZ,2026-02,17,22,1,0.97
B0GDNTQUXZ,2026-03,29,34,0,0.99
B0GDNTQUXZ,2026-04,130,164,0,0.91
B0GDNTQUXZ,2026-05,13,17,0,0.92
B0GDNTQUXZ,2026-06,53,68,0,0.9
B07BRCRU82,2025-01,1,1,0,0.92
B07BRCRU82,2025-02,110,149,0,0.96
B07BRCRU82,2025-03,129,181,0,0.91
B07BRCRU82,2025-04,150,196,0,0.88
B07BRCRU82,2025-05,55,76,0,0.89
B07BRCRU82,2025-06,25,33,0,0.87
B07BRCRU82,2025-07,30,38,3,0.92
B07BRCRU82,2025-08,8,12,0,1.0
B07BRCRU82,2025-09,9,12,1,0.9
B07BRCRU82,2025-10,62,72,0,0.87
B07BRCRU82,2025-11,17,20,2,0.99
B07BRCRU82,2025-12,59,88,6,0.94
B07BRCRU82,2026-01,47,70,0,0.93
B07BRCRU82,2026-02,30,41,3,0.95
B07BRCRU82,2026-03,9,11,1,0.98
B07BRCRU82,2026-04,15,20,2,0.89
B07BRCRU82,2026-05,13,15,0,0.87
B07BRCRU82,2026-06,30,46,4,0.94
B0054NK7PS,2025-01,77,98,0,0.96
B0054NK7PS,2025-02,72,93,0,0.99
B0054NK7PS,2025-03,10,12,1,0.88
B0054NK7PS,2025-04,97,140,0,0.98
B0054NK7PS,2025-05,17,24,0,0.96
B0054NK7PS,2025-06,12,16,1,0.94
B0054NK7PS,2025-07,108,143,0,0.9
B0054NK7PS,2025-08,11,14,1,0.99
B0054NK7PS,2025-09,148,217,0,0.92
B0054NK7PS,2025-10,9,13,1,0.88
B0054NK7PS,2025-11,44,60,0,0.87
B0054NK7PS,2025-12,20,28,2,0.93
B0054NK7PS,2026-01,60,80,0,0.92
B0054NK7PS,2026-02,96,112,0,0.98
B0054NK7PS,2026-03,10,12,1,1.0
B0054NK7PS,2026-04,105,130,0,0.87
B0054NK7PS,2026-05,144,208,0,0.9
B0054NK7PS,2026-06,145,184,0,0.94
B0WCY6LU8P,2025-01,37,46,4,0.88
B0WCY6LU8P,2025-02,9,11,1,0.99
B0WCY6LU8P,2025-03,26,32,3,0.95
B0WCY6LU8P,2025-04,20,27,2,0.92
B0WCY6LU8P,2025-05,29,44,3,0.86
B0WCY6LU8P,2025-06,10,13,1,0.92
B0WCY6LU8P,2025-07,17,23,2,0.89
B0WCY6LU8P,2025-08,37,45,4,0.94
B0WCY6LU8P,2025-09,143,166,0,0.97
B0WCY6LU8P,2025-10,10,12,1,0.95
B0WCY6LU8P,2025-11,8,10,1,0.87
B0WCY6LU8P,2025-12,8,11,1,0.94
B0WCY6LU8P,2026-01,27,38,3,0.95
B0WCY6LU8P,2026-02,29,37,3,0.97
B0WCY6LU8P,2026-03,10,15,1,0.9
B0WCY6LU8P,2026-04,17,26,2,0.93
B0WCY6LU8P,2026-05,23,34,3,0.94
B0WCY6LU8P,2026-06,144,221,0,0.97
B00EGECWF5,2025-01,50,73,6,0.92
B00EGECWF5,2025-02,40,50,4,0.99
B00EGECWF5,2025-03,18,26,2,0.96
B00EGECWF5,2025-04,10,14,1,0.97
B00EGECWF5,2025-05,61,82,6,0.88
B00EGECWF5,2025-06,23,28,3,0.98
B00EGECWF5,2025-07,55,82,7,0.88
B00EGECWF5,2025-08,48,59,5,0.99
B00EGECWF5,2025-09,16,19,2,0.99
B00EGECWF5,2025-10,26,38,3,0.91
B00EGECWF5,2025-11,27,36,3,0.92
B00EGECWF5,2025-12,56,77,7,0.92
B00EGECWF5,2026-01,23,33,3,0.89
B00EGECWF5,2026-02,31,37,4,0.96
B00EGECWF5,2026-03,109,166,0,0.99
B00EGECWF5,2026-04,46,69,0,0.99
B00EGECWF5,2026-05,30,39,4,0.99
B00EGECWF5,2026-06,37,54,4,0.91
B0A8X9FRKN,2025-01,109,139,0,0.87
B0A8X9FRKN,2025-02,58,82,3,0.93
B0A8X9FRKN,2025-03,38,45,2,0.95
B0A8X9FRKN,2025-04,31,39,2,0.97
B0A8X9FRKN,2025-05,17,26,1,0.95
B0A8X9FRKN,2025-06,73,90,4,0.95
B0A8X9FRKN,2025-07,114,166,8,0.99
B0A8X9FRKN,2025-08,40,51,2,0.92
B0A8X9FRKN,2025-09,46,55,3,0.87
B0A8X9FRKN,2025-10,31,40,2,0.97
B0A8X9FRKN,2025-11,108,167,6,0.91
B0A8X9FRKN,2025-12,116,144,7,0.86
B0A8X9FRKN,2026-01,97,129,0,0.96
B0A8X9FRKN,2026-02,19,27,1,0.95
B0A8X9FRKN,2026-03,94,126,5,0.94
B0A8X9FRKN,2026-04,58,87,3,0.95
